,City,Country,Lat,Lng,Hotel Name
147,nushki,PK,29.5542,66.0215,
148,port hawkesbury,CA,45.6169,-61.3485,
149,nemuro,JP,43.3236,145.575,
150,kupang,ID,-10.1667,123.5833,
151,puerto ayora,EC,-0.7393,-90.3518,
152,lazaro cardenas,MX,17.9583,-102.2,
153,almaty,KZ,43.25,76.95,
154,severo-kurilsk,RU,50.6789,156.125,
155,ous,RU,60.9058,61.5186,
156,birin,NP,26.8865,88.0718,
157,yarmouth,US,41.7057,-70.2286,
158,port elizabeth,ZA,-33.918,25.5701,
159,xining,CN,36.6167,101.7667,
160,wakkanai,JP,45.4094,141.6739,
161,bintulu,MY,3.1667,113.0333,
162,cockburn town,TC,21.4612,-71.1419,
163,etchoropo,MX,26.7667,-109.6667,
164,gdansk,PL,54.3521,18.6464,
165,nabire,ID,-3.3667,135.4833,
166,yar-sale,RU,66.8333,70.8333,
167,conde,BR,-7.2597,-34.9075,
168,port blair,IN,11.6667,92.75,
169,ilebo,CD,-4.3167,20.5833,
170,sola,VU,-13.8833,167.55,
171,east london,ZA,-33.0153,27.9116,
172,grand-santi,GF,4.25,-54.3833,
173,cherskiy,RU,68.75,161.3,
174,byron bay,AU,-28.65,153.6167,
175,yulara,AU,-25.2406,130.9889,
176,puerto madryn,AR,-42.7692,-65.0385,
177,leh,IN,34.1667,77.5833,
178,pavino,RU,59.1139,46.1414,
179,biak,ID,-0.9131,122.8766,
180,saint-augustin,CA,51.226000000000006,-58.6502,
181,phan thiet,VN,10.9333,108.1,
182,kropotkin,RU,45.4375,40.5756,
183,garowe,SO,8.4054,48.4845,
184,chapais,CA,49.7834,-74.8492,
185,martapura,ID,-3.4167,114.85,
186,tigil,RU,57.8,158.6667,
187,palu,ID,-0.8917,119.8707,
188,zhuanghe,CN,39.7008,122.9911,
189,dicabisagan,PH,17.0818,122.4157,
190,suraabad,AZ,40.8192,49.4687,
191,westport,US,41.1415,-73.3579,
192,asau,RO,46.4333,26.4,
193,kenora,CA,49.8167,-94.4337,
194,flin flon,CA,54.7682,-101.865,
195,mogadishu,SO,2.0371,45.3438,
196,yangambi,CD,0.8102,24.4336,
197,hasaki,JP,35.7333,140.8333,
198,rossano,IT,39.5751,16.6349,
199,nalvo,PH,16.8096,120.5108,
200,yaan,NG,7.3833,8.5667,
201,lujan,AR,-34.5703,-59.105,
202,saint george,US,37.1041,-113.5841,
203,zhigansk,RU,66.7697,123.3711,
204,abha,SA,18.2164,42.5053,
205,pamanukan,ID,-6.2842,107.8106,
206,luderitz,,-26.6481,15.1594,
207,lae,PG,-6.7221,146.9847,
208,nikolskoye,RU,59.7035,30.7861,
209,bridlington,GB,54.0831,-0.1919,
210,doha,QA,25.2867,51.5333,
211,tilichiki,RU,60.4667,166.1,
212,savalou,BJ,7.9281,1.9756,
213,bodden town,KY,19.2833,-81.25,
214,makushino,RU,55.2103,67.2442,
215,gambela,ET,8.25,34.5833,
216,salinas,US,36.6777,-121.6555,
217,gunjur,GM,13.2019,-16.7339,
218,narsaq,GL,60.9167,-46.05,
219,knysna,ZA,-34.0363,23.0471,
220,tahta,EG,26.7693,31.5021,
221,rio cauto,CU,20.5603,-76.9161,
222,strezhevoy,RU,60.7333,77.5889,
223,ribeira grande,PT,38.5167,-28.7,
224,hobyo,SO,5.3505,48.5268,
225,plettenberg bay,ZA,-34.0527,23.3716,
226,bredasdorp,ZA,-34.5322,20.0403,
227,vostok,RU,46.4856,135.8833,
228,roald,NO,62.5833,6.1333,
229,anchorage,US,61.2181,-149.9003,
230,tlaixpan,MX,18.9,-97.7333,
231,vaitape,PF,-16.5167,-151.75,
232,bethel,US,41.3712,-73.414,
233,coquimbo,CL,-29.9533,-71.3436,
234,tevriz,RU,57.50899999999999,72.4042,
235,leningradskiy,RU,69.3833,178.4167,
236,gasa,PS,31.5,34.4667,
237,muhos,FI,64.808,25.9931,
238,frankfort,ZA,-27.2667,28.4833,
239,richards bay,ZA,-28.783,32.0377,
240,san cristobal,VE,7.7669,-72.225,
241,dobele,LV,56.625,23.2786,
242,coria,ES,39.9879,-6.5377,
243,big rapids,US,43.6981,-85.4837,
244,khatanga,RU,71.9667,102.5,
245,champerico,GT,14.3,-91.9167,
246,teofilo otoni,BR,-17.8575,-41.5053,
247,jacareacanga,BR,-6.2222,-57.7528,
248,inuvik,CA,68.3499,-133.7218,
249,rock sound,BS,24.9,-76.2,
250,shingu,JP,33.7333,135.9833,
251,rodrigues alves,BR,-7.7379999999999995,-72.6509,
252,benjamin hill,MX,30.1667,-111.1,
253,lebu,CL,-37.6167,-73.65,
254,navolato,MX,24.7672,-107.6944,
255,ola,RU,59.5833,151.2833,
256,kem,RU,64.9555,34.5793,
257,bandarbeyla,SO,9.4942,50.8122,
258,daru,PG,-9.0763,143.2092,
259,san policarpo,PH,12.1791,125.5072,
260,myitkyina,MM,25.3833,97.4,
261,banavar,IN,13.4136,76.1683,
262,dargaville,NZ,-35.9333,173.8833,
263,pisco,PE,-13.7,-76.2167,
264,margate,GB,51.3813,1.3862,
265,xai-xai,MZ,-25.0519,33.6442,
266,carberry,CA,49.8689,-99.3602,
267,comodoro rivadavia,AR,-45.8667,-67.5,
268,porto novo,BJ,6.4965,2.6036,
269,mackay,AU,-21.15,149.2,
270,labayug,PH,16.1528,120.5661,
271,araucaria,BR,-25.5931,-49.4103,
272,yumen,CN,40.2833,97.2,
273,salur,IN,18.5333,83.2167,
274,sangar,RU,63.9242,127.4739,
275,meulaboh,ID,4.1363,96.1285,
276,clarence town,AU,-32.5833,151.7833,
277,enniscorthy,IE,52.5008,-6.5578,
278,guerrero negro,MX,27.9769,-114.0611,
279,buchanan,LR,5.8808,-10.0467,
280,cidreira,BR,-30.1811,-50.2056,
281,labuhan,ID,-6.8844,112.2051,
282,cascais,PT,38.6979,-9.4215,
283,marzuq,YE,14.4,46.4667,
284,petropavlovsk-kamchatskiy,RU,53.0452,158.6483,
285,gat,IL,31.61,34.7642,
286,san fernando,PH,15.0286,120.6898,
287,saveh,IR,35.0213,50.3566,
288,alice springs,AU,-23.7,133.8833,
289,los llanos de aridane,ES,28.6585,-17.9182,
290,mahina,PF,-17.5065,-149.489,
291,lagoa,PT,39.05,-27.9833,
292,rondonopolis,BR,-16.4708,-54.6356,
293,aswan,EG,24.0934,32.907,
294,hajiganj,BD,23.2511,90.8592,
295,petropavl,KZ,54.8753,69.1628,
296,port hedland,AU,-20.3167,118.5667,
297,bay roberts,CA,47.5999,-53.2648,
298,geraldton,AU,-28.7667,114.6,
299,kiskunmajsa,HU,46.4903,19.74,
300,darhan,MN,49.4867,105.9228,
301,evanston,US,42.0411,-87.6901,
302,marfino,RU,55.7028,37.3822,
303,clinton,US,42.586999999999996,-82.9199,
304,katsuura,JP,35.1333,140.3,
305,nara,JP,34.6851,135.8049,
306,jieshi,CN,22.8134,115.8257,
307,camana,PE,-16.6228,-72.7111,
308,constitucion,CL,-35.3333,-72.4167,
309,pangnirtung,CA,66.1451,-65.7125,
310,honningsvag,NO,70.9821,25.9704,
311,oga,IT,46.4631,10.347000000000001,
312,royan,FR,45.6285,-1.0281,
313,norman wells,CA,65.282,-126.8329,
314,dedovichi,RU,57.5517,29.9502,
315,pacific grove,US,36.6177,-121.9166,
316,ayan,RU,56.45,138.1667,
317,kirakira,SB,-10.4544,161.9205,
318,denpasar,ID,-8.65,115.2167,
319,dickinson,US,29.4608,-95.0513,
320,sainte-suzanne,RE,-20.9061,55.6089,
321,russell,US,32.3502,-85.1999,
322,sioux lookout,CA,50.1001,-91.917,
323,georgiyevka,KZ,43.0369,74.7114,
324,sambava,MG,-14.2667,50.1667,
325,karratha,AU,-20.7377,116.8463,
326,vallenar,CL,-28.5708,-70.7581,
327,fortuna,US,40.5982,-124.1573,
328,rio gallegos,AR,-51.6226,-69.2181,
329,chirongui,YT,-12.9319,45.1483,
330,luanda,AO,-8.8368,13.2343,
331,lannion,FR,48.75,-3.4167,
332,kokopo,PG,-4.352,152.2633,
333,pahrump,US,36.2083,-115.9839,
334,pangai,TO,-19.8,-174.35,
335,kalashnikovo,RU,57.2824,35.2262,
336,jeremoabo,BR,-10.075,-38.4808,
337,tecoanapa,MX,16.5167,-98.75,
338,lavrentiya,RU,65.5833,-171.0,
339,noumea,NC,-22.2763,166.4572,
340,guasdualito,VE,7.2424,-70.7324,
341,te anau,NZ,-45.4167,167.7167,
342,penzance,GB,50.1186,-5.5371,
343,codrington,AU,-38.2667,141.9667,
344,san patricio,US,28.017,-97.5169,
345,vestmanna,FO,62.1564,-7.1664,
346,kavaratti,IN,10.5669,72.642,
347,susehri,TR,40.1644,38.0867,
348,broome,US,42.2506,-75.833,
349,bilibino,RU,68.0546,166.4372,
350,thanh hoa,VN,19.8,105.7667,
351,saint anthony,US,45.0205,-93.21799999999999,
352,duldurga,RU,50.6761,113.5931,
353,wonthaggi,AU,-38.6044,145.5913,
354,ahipara,NZ,-35.1667,173.1667,
355,tuatapere,NZ,-46.1333,167.6833,
356,guadalupe victoria,MX,32.2869,-115.105,
357,port hardy,CA,50.6996,-127.4199,
358,rawson,AR,-43.3002,-65.1023,
359,mbanza-ngungu,CD,-5.25,14.8667,
360,batticaloa,LK,7.7102,81.6924,
361,farafenni,GM,13.5667,-15.6,
362,iquitos,PE,-3.7481,-73.2472,
363,natitingou,BJ,10.3042,1.3796,
364,rundu,,-17.9333,19.7667,
365,natal,BR,-5.795,-35.2094,
366,aquiraz,BR,-3.9014,-38.3911,
367,sur,OM,22.5667,59.5289,
368,ostrovnoy,RU,68.0531,39.5131,
369,mafinga,TZ,-7.25,35.0667,
370,kaitangata,NZ,-46.2817,169.8464,
371,mayumba,GA,-3.432,10.6554,
372,krasnoselkup,RU,65.7,82.4667,
373,midrand,ZA,-25.9636,28.1378,
374,kaeo,NZ,-35.1,173.7833,
375,tekeli,KZ,44.83,78.8239,
376,yazman,PK,29.1212,71.7446,
377,cabadiangan,PH,9.7531,122.4739,
378,mishelevka,RU,52.8575,103.1719,
379,kidal,ML,18.4411,1.4078,
380,wilmington,US,34.2257,-77.9447,
381,vardo,NO,70.3705,31.1107,
382,san carlos,VE,9.6612,-68.5827,
383,sisimiut,GL,66.9395,-53.6735,
384,lagunas,PE,-5.2269,-75.6753,
385,pierre,US,44.3683,-100.351,
386,beringovskiy,RU,63.05,179.3167,
